COD_DEP,COD_MUN,DEPARTAMENTO,MUNICIPIO,AÑO,DELITO,CRIMINALIDAD,ES_ARCHIVO,ES_PRECLUSIÓN,ESTADO,ETAPA_CASO,LEY,TOTAL_PROCESOS,TRANSHUMANTES,IDC_TOTAL,MUJERES_DIVIPOLE,HOMBRES_DIVIPOLE,TOTAL_DIVIPOLE
07,249,BOYACA,SAN PABLO DE BORBUR,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,2.0,407.0,881.0,2517.0,3465.0,5982.0
07,250,BOYACA,SANTANA,2011,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,511.0,587.0,2752.0,3111.0,5863.0
07,250,BOYACA,SANTANA,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,511.0,587.0,2752.0,3111.0,5863.0
07,250,BOYACA,SANTANA,2011,VOTO FRAUDULENTO ART. 391 C.P,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,511.0,587.0,2752.0,3111.0,5863.0
07,253,BOYACA,SANTA ROSA DE VITERBO,2011,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,598.0,680.0,4023.0,3407.0,7430.0
07,253,BOYACA,SANTA ROSA DE VITERBO,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,598.0,680.0,4023.0,3407.0,7430.0
07,256,BOYACA,SANTA SOFIA,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,211.0,408.0,1457.0,1484.0,2941.0
07,256,BOYACA,SANTA SOFIA,2011,FAVORECIMIENTO DE VOTO FRAUDULENTO ART. 392 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,211.0,408.0,1457.0,1484.0,2941.0
07,256,BOYACA,SANTA SOFIA,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,211.0,408.0,1457.0,1484.0,2941.0
07,259,BOYACA,SATIVANORTE,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,327.0,1175.0,1235.0,2410.0
07,259,BOYACA,SATIVANORTE,2011,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,327.0,1175.0,1235.0,2410.0
07,262,BOYACA,SATIVASUR,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,186.0,645.0,561.0,1206.0
07,262,BOYACA,SATIVASUR,2011,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,186.0,645.0,561.0,1206.0
07,265,BOYACA,SIACHOQUE,2011,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,289.0,592.0,2731.0,2961.0,5692.0
07,265,BOYACA,SIACHOQUE,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,289.0,592.0,2731.0,2961.0,5692.0
07,265,BOYACA,SIACHOQUE,2011,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,289.0,592.0,2731.0,2961.0,5692.0
07,268,BOYACA,SOATA,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,474.0,461.0,3693.0,3259.0,6952.0
07,277,BOYACA,SOGAMOSO,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,2.0,1234.0,5190.0,43324.0,36618.0,79942.0
07,277,BOYACA,SOGAMOSO,2011,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,2.0,1234.0,5190.0,43324.0,36618.0,79942.0
07,277,BOYACA,SOGAMOSO,2011,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,4.0,1234.0,5190.0,43324.0,36618.0,79942.0
07,277,BOYACA,SOGAMOSO,2011,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,1234.0,5190.0,43324.0,36618.0,79942.0
07,277,BOYACA,SOGAMOSO,2011,MORA EN LA ENTREGA DE DOCUMENTOS RELACIONADOS CON UNA VOTACION ART. 393 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,1234.0,5190.0,43324.0,36618.0,79942.0
07,280,BOYACA,SOMONDOCO,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,124.0,473.0,1427.0,1406.0,2833.0
07,281,BOYACA,SORA,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,194.0,364.0,1134.0,1185.0,2319.0
07,282,BOYACA,SORACA,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,394.0,732.0,2371.0,2424.0,4795.0
07,282,BOYACA,SORACA,2011,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,394.0,732.0,2371.0,2424.0,4795.0
07,282,BOYACA,SORACA,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,394.0,732.0,2371.0,2424.0,4795.0
07,283,BOYACA,SOTAQUIRA,2011,INTERVENCION EN POLITICA ART. 422 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,162.0,488.0,2474.0,2605.0,5079.0
07,283,BOYACA,SOTAQUIRA,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,162.0,488.0,2474.0,2605.0,5079.0
07,286,BOYACA,SUSACON,2011,VOTO FRAUDULENTO ART. 391 C.P,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,249.0,1194.0,1265.0,2459.0
07,286,BOYACA,SUSACON,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,249.0,1194.0,1265.0,2459.0
07,286,BOYACA,SUSACON,2011,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,249.0,1194.0,1265.0,2459.0
07,289,BOYACA,SUTAMARCHAN,2011,PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,417.0,690.0,2296.0,2327.0,4623.0
07,289,BOYACA,SUTAMARCHAN,2011,FRAUDE AL SUFRAGANTE ART. 388 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,417.0,690.0,2296.0,2327.0,4623.0
07,289,BOYACA,SUTAMARCHAN,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,417.0,690.0,2296.0,2327.0,4623.0
07,298,BOYACA,TASCO,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,240.0,517.0,2492.0,2529.0,5021.0
07,298,BOYACA,TASCO,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,240.0,517.0,2492.0,2529.0,5021.0
07,304,BOYACA,TIBANA,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,33.0,466.0,3596.0,3783.0,7379.0
07,307,BOYACA,TIBASOSA,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,295.0,745.0,3610.0,3318.0,6928.0
07,310,BOYACA,TINJACA,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,206.0,327.0,1125.0,1181.0,2306.0
07,311,BOYACA,TIPACOQUE,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,455.0,1539.0,1646.0,3185.0
07,311,BOYACA,TIPACOQUE,2011,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,455.0,1539.0,1646.0,3185.0
07,313,BOYACA,TOCA,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,143.0,430.0,3202.0,3341.0,6543.0
07,319,BOYACA,TOPAGA,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,57.0,223.0,1452.0,1265.0,2717.0
