,cod_dep,cod_mun,departament,municipality,total
0,01,001,ANTIOQUIA,MEDELLIN,150887
1,01,004,ANTIOQUIA,ABEJORRAL,1378
2,01,007,ANTIOQUIA,ABRIAQUI,190
3,01,010,ANTIOQUIA,ALEJANDRIA,398
4,01,013,ANTIOQUIA,AMAGA,1649
5,01,016,ANTIOQUIA,AMALFI,1042
6,01,019,ANTIOQUIA,ANDES,3060
7,01,022,ANTIOQUIA,ANGELOPOLIS,874
8,01,025,ANTIOQUIA,ANGOSTURA,866
9,01,028,ANTIOQUIA,ANORI,1034
10,01,031,ANTIOQUIA,ANTIOQUIA,1718
11,01,034,ANTIOQUIA,ANZA,1228
12,01,035,ANTIOQUIA,APARTADO,11685
13,01,037,ANTIOQUIA,ARBOLETES,2864
14,01,039,ANTIOQUIA,ARGELIA,798
15,01,040,ANTIOQUIA,ARMENIA,550
16,01,043,ANTIOQUIA,BARBOSA,3619
17,01,046,ANTIOQUIA,BELMIRA,606
18,01,049,ANTIOQUIA,BELLO,29044
19,01,052,ANTIOQUIA,BETANIA,1931
20,01,055,ANTIOQUIA,BETULIA,1176
21,01,058,ANTIOQUIA,BOLIVAR,1954
22,01,061,ANTIOQUIA,BURITICA,1478
23,01,062,ANTIOQUIA,BRICE/O,779
24,01,064,ANTIOQUIA,CACERES,2988
25,01,067,ANTIOQUIA,CAICEDO,320
26,01,070,ANTIOQUIA,CALDAS,4180
27,01,073,ANTIOQUIA,CAMPAMENTO,1245
28,01,076,ANTIOQUIA,CA/ASGORDAS,1879
29,01,078,ANTIOQUIA,CARACOLI,569
30,01,079,ANTIOQUIA,CARAMANTA,725
31,01,080,ANTIOQUIA,CAREPA,4913
32,01,082,ANTIOQUIA,CARMEN DE VIBORAL,2728
33,01,085,ANTIOQUIA,CAROLINA,334
34,01,088,ANTIOQUIA,CAUCASIA,5066
35,01,091,ANTIOQUIA,CISNEROS,821
36,01,094,ANTIOQUIA,COCORNA,2000
37,01,097,ANTIOQUIA,CONCEPCION,634
38,01,100,ANTIOQUIA,CONCORDIA,956
39,01,103,ANTIOQUIA,COPACABANA,6192
40,01,106,ANTIOQUIA,CHIGORODO,3783
41,01,109,ANTIOQUIA,DABEIBA,1712
42,01,112,ANTIOQUIA,DON MATIAS,2292
43,01,115,ANTIOQUIA,EBEJICO,1178
44,01,117,ANTIOQUIA,EL BAGRE,3487
45,01,118,ANTIOQUIA,ENTRERRIOS,607
46,01,121,ANTIOQUIA,ENVIGADO,20384
47,01,124,ANTIOQUIA,FREDONIA,1126
48,01,127,ANTIOQUIA,FRONTINO,1401
49,01,130,ANTIOQUIA,GIRALDO,379
50,01,133,ANTIOQUIA,GIRARDOTA,3457
