COD_DEP,COD_MUN,DEPARTAMENTO,MUNICIPIO,AÑO,DELITO,CRIMINALIDAD,ES_ARCHIVO,ES_PRECLUSIÓN,ESTADO,ETAPA_CASO,LEY,TOTAL_PROCESOS,TRANSHUMANTES,IDC_TOTAL,MUJERES_DIVIPOLE,HOMBRES_DIVIPOLE,TOTAL_DIVIPOLE
01,049,ANTIOQUIA,SAN CARLOS,2019,TRAFICO DE VOTOS ART. 390A,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,1155.0,2278.0,9540.0,10428.0,19968.0
01,049,ANTIOQUIA,SAN CARLOS,2019,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,1155.0,2278.0,9540.0,10428.0,19968.0
13,049,CORDOBA,SAN CARLOS,2019,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,1155.0,2278.0,9540.0,10428.0,19968.0
01,013,ANTIOQUIA,SAN FRANCISCO,2019,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,198.0,392.0,2408.0,2355.0,4763.0
01,013,ANTIOQUIA,SAN FRANCISCO,2019,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,198.0,392.0,2408.0,2355.0,4763.0
15,013,CUNDINAMARCA,SAN FRANCISCO,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,198.0,392.0,2408.0,2355.0,4763.0
29,109,TOLIMA,SAN LUIS,2019,INTERVENCION EN POLITICA ART. 422 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,699.0,1321.0,5528.0,5847.0,11375.0
01,241,ANTIOQUIA,SAN ROQUE,2019,FINANCIACION DE CAMPAÑAS ELECTORALES CON FUENTES PROHIBIDAS ART.396A,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,674.0,1487.0,7287.0,8055.0,15342.0
01,195,ANTIOQUIA,SANTA BARBARA,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,323.0,518.0,986.0,1211.0,2197.0
01,195,ANTIOQUIA,SANTA BARBARA,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,323.0,518.0,986.0,1211.0,2197.0
23,195,NARIÑO,SANTA BARBARA,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,323.0,518.0,986.0,1211.0,2197.0
23,195,NARIÑO,SANTA BARBARA,2019,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,323.0,518.0,986.0,1211.0,2197.0
23,195,NARIÑO,SANTA BARBARA,2019,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,323.0,518.0,986.0,1211.0,2197.0
