,crime,criminality,is_file,is_preclusion,state,state_case,law,departament,municipality,year,total_processes
0,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,BOLIVAR,SIMITI,2011,1
3,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,NARIÑO,PASTO,2011,3
5,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,NARIÑO,SANDONA,2011,1
8,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,MAGDALENA,EL BANCO,2011,1
13,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,ANTIOQUIA,PUERTO NARE,2011,1
15,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,RISARALDA,DOSQUEBRADAS,2011,1
16,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,BOYACA,TIBANA,2011,1
18,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,CHOCO,CONDOTO,2011,1
19,INTERVENCION EN POLITICA ART. 422 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,CAQUETA,CARTAGENA DEL CHAIRA,2011,1
23,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,BOLIVAR,CARTAGENA,2011,1
33,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,CUNDINAMARCA,MOSQUERA,2011,1
36,VOTO FRAUDULENTO ART. 391 C.P,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,CASANARE,YOPAL,2011,1
39,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,CALDAS,LA DORADA,2011,1
40,VOTO FRAUDULENTO ART. 391 C.P,SI,NO,SI,INACTIVO,JUICIO,LEY 906,SUCRE,SINCELEJO,2011,1
45,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,VALLE DEL CAUCA,EL CERRITO,2011,2
46,INTERVENCION EN POLITICA ART. 422 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,SANTANDER,CONTRATACION,2011,1
50,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,CUNDINAMARCA,COTA,2011,2
52,FRAUDE AL SUFRAGANTE ART. 388 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,SUCRE,SAN MARCOS,2011,1
53,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,LA GUAJIRA,DIBULLA,2011,1
55,INTERVENCION EN POLITICA ART. 422 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,ANTIOQUIA,ZARAGOZA,2011,1
57,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,CHOCO,QUIBDO,2011,1
60,FRAUDE AL SUFRAGANTE ART. 388 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,CUNDINAMARCA,SOACHA,2011,1
61,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",NO,SI,NO,INACTIVO,INDAGACION,LEY 906,CALDAS,SAN JOSE,2011,1
62,DE LA VIOLACION AL EJERCICIO DE MECANISMOS DE PARTICIPACION,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,CASANARE,YOPAL,2011,2
64,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,VALLE DEL CAUCA,CAICEDONIA,2011,1
65,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,TOLIMA,IBAGUE,2011,5
66,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,QUINDIO,SALENTO,2011,1
68,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,CAUCA,PIAMONTE,2011,2
77,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,SANTANDER,CURITI,2011,1
81,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,CESAR,BOSCONIA,2011,1
82,PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.,NO,NO,NO,ACTIVO,JUICIO,LEY 906,BOLIVAR,SIMITI,2011,1
88,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,TOLIMA,IBAGUE,2011,1
90,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,"BOGOTA, D. C.","BOGOTA, D.C.",2011,1
93,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,QUINDIO,QUIMBAYA,2011,1
94,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,SI,NO,SI,INACTIVO,INDAGACION,LEY 906,GUAINIA,INIRIDA,2011,1
97,VOTO FRAUDULENTO ART. 391 C.P,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,CESAR,VALLEDUPAR,2011,2
98,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,MAGDALENA,PEDRAZA,2011,2
99,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,LA GUAJIRA,MAICAO,2011,2
100,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,LA GUAJIRA,MAICAO,2011,1
103,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",SI,NO,NO,INACTIVO,INDAGACION,LEY 906,PUTUMAYO,SAN MIGUEL,2011,1
104,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,ANTIOQUIA,CALDAS,2011,1
106,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,NORTE DE SANTANDER,EL CARMEN,2011,1
108,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,ANTIOQUIA,RIONEGRO,2011,1
109,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,NO,NO,INACTIVO,EJECUCION DE PENAS,LEY 906,META,ACACIAS,2011,1
110,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,SANTANDER,CURITI,2011,1
111,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,HUILA,NEIVA,2011,1
112,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,ANTIOQUIA,EBEJICO,2011,1
113,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,VAUPES,MITU,2011,1
114,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,CAQUETA,SAN JOSE DEL FRAGUA,2011,1
118,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,CUNDINAMARCA,GUADUAS,2011,1
120,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,BOYACA,GACHANTIVA,2011,1
122,PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,MAGDALENA,EL BANCO,2011,1
123,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,PUTUMAYO,VILLAGARZON,2011,1
126,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,TOLIMA,PURIFICACION,2011,1
131,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,BOYACA,VIRACACHA,2011,1
136,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,BOYACA,SATIVASUR,2011,1
137,INTERVENCION EN POLITICA ART. 422 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,MAGDALENA,FUNDACION,2011,1
138,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,META,VILLAVICENCIO,2011,1
139,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,NO,NO,SI,INACTIVO,INDAGACION,LEY 906,ANTIOQUIA,MEDELLIN,2011,1
140,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,META,LA MACARENA,2011,1
141,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,ANTIOQUIA,SAN FRANCISCO,2011,2
142,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,CAUCA,PIENDAMO,2011,1
147,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,SUCRE,BUENAVISTA,2011,1
149,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,ANTIOQUIA,ENVIGADO,2011,1
