,cod_dep,cod_mun,departament,municipality,total
0,01,001,ANTIOQUIA,MEDELLIN,114104
1,01,004,ANTIOQUIA,ABEJORRAL,754
2,01,007,ANTIOQUIA,ABRIAQUI,283
3,01,010,ANTIOQUIA,ALEJANDRIA,386
4,01,013,ANTIOQUIA,AMAGA,1232
5,01,016,ANTIOQUIA,AMALFI,1181
6,01,019,ANTIOQUIA,ANDES,2018
7,01,022,ANTIOQUIA,ANGELOPOLIS,484
8,01,025,ANTIOQUIA,ANGOSTURA,467
9,01,028,ANTIOQUIA,ANORI,1217
10,01,031,ANTIOQUIA,ANTIOQUIA,1983
11,01,034,ANTIOQUIA,ANZA,580
12,01,035,ANTIOQUIA,APARTADO,8683
13,01,037,ANTIOQUIA,ARBOLETES,3072
14,01,039,ANTIOQUIA,ARGELIA,515
15,01,040,ANTIOQUIA,ARMENIA,266
16,01,043,ANTIOQUIA,BARBOSA,2016
17,01,046,ANTIOQUIA,BELMIRA,634
18,01,049,ANTIOQUIA,BELLO,22382
19,01,052,ANTIOQUIA,BETANIA,951
20,01,055,ANTIOQUIA,BETULIA,861
21,01,058,ANTIOQUIA,BOLIVAR,960
22,01,061,ANTIOQUIA,BURITICA,691
23,01,062,ANTIOQUIA,BRICEÑO,624
24,01,064,ANTIOQUIA,CACERES,1829
25,01,067,ANTIOQUIA,CAICEDO,378
26,01,070,ANTIOQUIA,CALDAS,4011
27,01,073,ANTIOQUIA,CAMPAMENTO,757
28,01,076,ANTIOQUIA,CAÑASGORDAS,1171
29,01,078,ANTIOQUIA,CARACOLI,602
30,01,079,ANTIOQUIA,CARAMANTA,338
31,01,080,ANTIOQUIA,CAREPA,4178
32,01,082,ANTIOQUIA,CARMEN DE VIBORAL,3082
33,01,085,ANTIOQUIA,CAROLINA,346
34,01,088,ANTIOQUIA,CAUCASIA,5316
35,01,091,ANTIOQUIA,CISNEROS,783
36,01,094,ANTIOQUIA,COCORNA,1370
37,01,097,ANTIOQUIA,CONCEPCION,334
38,01,100,ANTIOQUIA,CONCORDIA,556
39,01,103,ANTIOQUIA,COPACABANA,5610
40,01,106,ANTIOQUIA,CHIGORODO,3307
41,01,109,ANTIOQUIA,DABEIBA,1848
42,01,112,ANTIOQUIA,DON MATIAS,1482
43,01,115,ANTIOQUIA,EBEJICO,697
44,01,117,ANTIOQUIA,EL BAGRE,2741
45,01,118,ANTIOQUIA,ENTRERRIOS,509
46,01,121,ANTIOQUIA,ENVIGADO,13060
47,01,124,ANTIOQUIA,FREDONIA,1238
48,01,127,ANTIOQUIA,FRONTINO,1408
49,01,130,ANTIOQUIA,GIRALDO,510
50,01,133,ANTIOQUIA,GIRARDOTA,2535
51,01,136,ANTIOQUIA,GOMEZ PLATA,644
52,01,139,ANTIOQUIA,GRANADA,482
53,01,140,ANTIOQUIA,GUADALUPE,409
54,01,142,ANTIOQUIA,GUARNE,3054
55,01,145,ANTIOQUIA,GUATAPE,684
56,01,148,ANTIOQUIA,HELICONIA,608
57,01,150,ANTIOQUIA,HISPANIA,604
58,01,151,ANTIOQUIA,ITAGUI,20666
59,01,154,ANTIOQUIA,ITUANGO,1367
60,01,157,ANTIOQUIA,JARDIN,655
61,01,160,ANTIOQUIA,JERICO,621
62,01,163,ANTIOQUIA,LA CEJA,3875
63,01,166,ANTIOQUIA,LA ESTRELLA,5987
64,01,168,ANTIOQUIA,PUERTO NARE-LA MAGDALENA,1219
65,01,169,ANTIOQUIA,LA UNION,898
66,01,170,ANTIOQUIA,LA PINTADA,625
67,01,172,ANTIOQUIA,LIBORINA,506
68,01,175,ANTIOQUIA,MACEO,953
69,01,178,ANTIOQUIA,MARINILLA,3306
70,01,181,ANTIOQUIA,MONTEBELLO,560
71,01,184,ANTIOQUIA,MURINDO,218
72,01,187,ANTIOQUIA,MUTATA,3386
73,01,190,ANTIOQUIA,NARIÑO,707
74,01,191,ANTIOQUIA,NECHI,1659
75,01,192,ANTIOQUIA,NECOCLI,3447
76,01,193,ANTIOQUIA,OLAYA,529
77,01,196,ANTIOQUIA,PEÑOL,993
78,01,199,ANTIOQUIA,PEQUE,574
79,01,202,ANTIOQUIA,PUEBLORRICO,534
80,01,205,ANTIOQUIA,PUERTO BERRIO,2622
81,01,206,ANTIOQUIA,PUERTO TRIUNFO,2223
82,01,208,ANTIOQUIA,REMEDIOS,3261
83,01,211,ANTIOQUIA,RETIRO,1676
84,01,214,ANTIOQUIA,RIONEGRO,9590
85,01,217,ANTIOQUIA,SABANALARGA,503
86,01,218,ANTIOQUIA,SABANETA,12362
87,01,220,ANTIOQUIA,SALGAR,984
88,01,223,ANTIOQUIA,SAN ANDRES,632
89,01,226,ANTIOQUIA,SAN CARLOS,1694
90,01,227,ANTIOQUIA,SAN FRANCISCO,779
91,01,229,ANTIOQUIA,SAN JERONIMO,1290
92,01,230,ANTIOQUIA,SAN JOSE DE LA MONTAÑA,311
93,01,231,ANTIOQUIA,SAN JUAN DE URABA,1906
94,01,232,ANTIOQUIA,SAN LUIS,852
95,01,235,ANTIOQUIA,SAN PEDRO,1153
96,01,237,ANTIOQUIA,SAN PEDRO DE URABA,3520
97,01,238,ANTIOQUIA,SAN RAFAEL,830
98,01,241,ANTIOQUIA,SAN ROQUE,1487
99,01,244,ANTIOQUIA,SAN VICENTE,956
100,01,247,ANTIOQUIA,SANTA BARBARA,1142
101,01,250,ANTIOQUIA,SANTA ROSA DE OSOS,2316
102,01,253,ANTIOQUIA,SANTO DOMINGO,1452
103,01,256,ANTIOQUIA,SANTUARIO,1330
104,01,259,ANTIOQUIA,SEGOVIA,2364
105,01,262,ANTIOQUIA,SONSON,1829
106,01,265,ANTIOQUIA,SOPETRAN,1082
107,01,268,ANTIOQUIA,TAMESIS,722
108,01,270,ANTIOQUIA,TARAZA,2923
109,01,271,ANTIOQUIA,TARSO,543
110,01,274,ANTIOQUIA,TITIRIBI,392
111,01,277,ANTIOQUIA,TOLEDO,404
112,01,280,ANTIOQUIA,TURBO,8918
113,01,282,ANTIOQUIA,URAMITA,629
114,01,283,ANTIOQUIA,URRAO,1576
115,01,286,ANTIOQUIA,VALDIVIA,1128
116,01,289,ANTIOQUIA,VALPARAISO,419
117,01,290,ANTIOQUIA,VEGACHI,893
118,01,291,ANTIOQUIA,VIGIA DEL FUERTE,896
119,01,292,ANTIOQUIA,VENECIA,1213
120,01,293,ANTIOQUIA,YALI,537
121,01,295,ANTIOQUIA,YARUMAL,2250
122,01,298,ANTIOQUIA,YOLOMBO,1344
123,01,300,ANTIOQUIA,YONDO-CASABE,2294
124,01,301,ANTIOQUIA,ZARAGOZA,1970
125,03,001,ATLANTICO,BARRANQUILLA,150901
126,03,004,ATLANTICO,BARANOA,4362
127,03,007,ATLANTICO,CAMPO DE LA CRUZ,2091
128,03,010,ATLANTICO,CANDELARIA,1446
129,03,013,ATLANTICO,GALAPA,5523
130,03,016,ATLANTICO,JUAN DE ACOSTA,1636
131,03,019,ATLANTICO,LURUACO,2220
132,03,022,ATLANTICO,MALAMBO,11928
133,03,025,ATLANTICO,MANATI,911
134,03,028,ATLANTICO,PALMAR DE VARELA,3566
135,03,031,ATLANTICO,PIOJO,518
136,03,034,ATLANTICO,POLONUEVO,1031
137,03,035,ATLANTICO,PONEDERA,1953
138,03,037,ATLANTICO,PUERTO COLOMBIA,8708
139,03,040,ATLANTICO,REPELON,1540
140,03,043,ATLANTICO,SABANAGRANDE,2263
141,03,046,ATLANTICO,SABANALARGA,6948
142,03,047,ATLANTICO,SANTA LUCIA,1052
143,03,049,ATLANTICO,SANTO TOMAS,2643
144,03,052,ATLANTICO,SOLEDAD,60142
145,03,055,ATLANTICO,SUAN,833
146,03,058,ATLANTICO,TUBARA,1241
147,03,061,ATLANTICO,USIACURI,750
148,05,001,BOLIVAR,CARTAGENA,139063
149,05,004,BOLIVAR,ACHI,2692
150,05,005,BOLIVAR,ARENAL,638
151,05,006,BOLIVAR,ALTOS DEL ROSARIO,633
152,05,007,BOLIVAR,ARJONA,4070
153,05,009,BOLIVAR,ARROYO HONDO,1842
154,05,010,BOLIVAR,BARRANCO DE LOBA,1488
155,05,013,BOLIVAR,CALAMAR,1856
156,05,014,BOLIVAR,CANTAGALLO,1507
157,05,015,BOLIVAR,CICUCO,899
158,05,016,BOLIVAR,CORDOBA,1337
159,05,018,BOLIVAR,CLEMENCIA,1140
160,05,022,BOLIVAR,EL CARMEN DE BOLIVAR,5539
161,05,025,BOLIVAR,EL GUAMO,888
162,05,026,BOLIVAR,HATILLO DE LOBA,1549
163,05,027,BOLIVAR,EL PEÑON,642
164,05,028,BOLIVAR,MAGANGUE,14900
165,05,031,BOLIVAR,MAHATES,2465
166,05,037,BOLIVAR,MARGARITA,1342
167,05,040,BOLIVAR,MARIA LA BAJA,4865
168,05,041,BOLIVAR,MONTECRISTO,2659
169,05,043,BOLIVAR,MOMPOS,4118
170,05,044,BOLIVAR,MORALES,1868
171,05,050,BOLIVAR,NOROSI,1043
172,05,059,BOLIVAR,PINILLOS,1775
173,05,063,BOLIVAR,REGIDOR,476
174,05,065,BOLIVAR,RIOVIEJO,763
175,05,070,BOLIVAR,SAN ESTANISLAO,1564
176,05,072,BOLIVAR,SAN CRISTOBAL,621
177,05,073,BOLIVAR,SAN FERNANDO,1429
178,05,076,BOLIVAR,SAN JACINTO,2361
179,05,078,BOLIVAR,SAN JACINTO DEL CAUCA,1030
180,05,079,BOLIVAR,SAN JUAN NEPOMUCENO,2589
181,05,082,BOLIVAR,SAN MARTIN DE LOBA,1644
182,05,084,BOLIVAR,SAN PABLO,2428
183,05,091,BOLIVAR,SANTA CATALINA,1406
184,05,094,BOLIVAR,SANTA ROSA,1020
185,05,095,BOLIVAR,SANTA ROSA DEL SUR,2517
186,05,097,BOLIVAR,SIMITI,1420
187,05,106,BOLIVAR,SOPLAVIENTO,784
188,05,110,BOLIVAR,TALAIGUA NUEVO,1057
189,05,113,BOLIVAR,TIQUISIO (PTO. RICO),2087
190,05,118,BOLIVAR,TURBACO,8092
191,05,121,BOLIVAR,TURBANA,834
192,05,124,BOLIVAR,VILLANUEVA,948
193,05,127,BOLIVAR,ZAMBRANO,738
194,07,001,BOYACA,TUNJA,9880
195,07,007,BOYACA,ALMEIDA,239
196,07,008,BOYACA,AQUITANIA (PUEBLOVIEJO),694
197,07,010,BOYACA,ARCABUCO,461
198,07,013,BOYACA,BELEN,396
199,07,016,BOYACA,BERBEO,142
200,07,019,BOYACA,BETEITIVA,187
201,07,022,BOYACA,BOAVITA,392
202,07,025,BOYACA,BOYACA,349
203,07,028,BOYACA,BRICEÑO,376
204,07,031,BOYACA,BUENAVISTA,525
205,07,034,BOYACA,BUSBANZA,124
206,07,037,BOYACA,CALDAS,410
207,07,040,BOYACA,CAMPOHERMOSO,256
208,07,043,BOYACA,CERINZA,182
209,07,046,BOYACA,CIENEGA,225
210,07,049,BOYACA,COMBITA,956
211,07,052,BOYACA,COPER,310
212,07,055,BOYACA,CORRALES,143
213,07,058,BOYACA,COVARACHIA,428
214,07,059,BOYACA,CUBARA,624
215,07,060,BOYACA,CUCAITA,231
216,07,061,BOYACA,CUITIVA,277
217,07,064,BOYACA,CHINAVITA,285
218,07,067,BOYACA,CHIQUINQUIRA,2165
219,07,068,BOYACA,CHIQUIZA,436
220,07,070,BOYACA,CHISCAS,298
221,07,073,BOYACA,CHITA,466
222,07,076,BOYACA,CHITARAQUE,724
223,07,077,BOYACA,CHIVATA,396
224,07,078,BOYACA,CHIVOR,227
225,07,079,BOYACA,DUITAMA,4801
226,07,082,BOYACA,EL COCUY,208
227,07,085,BOYACA,EL ESPINO,284
228,07,088,BOYACA,FIRAVITOBA,637
229,07,091,BOYACA,FLORESTA,228
230,07,094,BOYACA,GACHANTIVA,305
231,07,097,BOYACA,GAMEZA,337
232,07,100,BOYACA,GARAGOA,664
233,07,103,BOYACA,GUACAMAYAS,151
234,07,106,BOYACA,GUATEQUE,553
235,07,109,BOYACA,GUAYATA,473
236,07,112,BOYACA,GUICAN,165
237,07,118,BOYACA,IZA,369
238,07,121,BOYACA,JENESANO,578
239,07,124,BOYACA,JERICO,503
240,07,127,BOYACA,LABRANZAGRANDE,555
241,07,130,BOYACA,LA CAPILLA,197
242,07,136,BOYACA,LA UVITA,361
243,07,137,BOYACA,LA VICTORIA,167
244,07,139,BOYACA,VILLA DE LEIVA,1238
245,07,142,BOYACA,MACANAL,278
246,07,148,BOYACA,MARIPI,902
247,07,151,BOYACA,MIRAFLORES,464
248,07,154,BOYACA,MONGUA,578
249,07,157,BOYACA,MONGUI,432
250,07,160,BOYACA,MONIQUIRA,1590
251,07,161,BOYACA,MOTAVITA,678
252,07,163,BOYACA,MUZO,710
253,07,166,BOYACA,NOBSA,1191
254,07,169,BOYACA,NUEVO COLON,290
255,07,173,BOYACA,OICATA,421
256,07,176,BOYACA,OTANCHE,838
257,07,178,BOYACA,PACHAVITA,171
258,07,179,BOYACA,PAEZ,215
259,07,181,BOYACA,PAIPA,2046
260,07,184,BOYACA,PAJARITO,276
261,07,187,BOYACA,PANQUEBA,154
262,07,190,BOYACA,PAUNA,591
263,07,193,BOYACA,PAYA,166
264,07,199,BOYACA,PAZ DE RIO,230
265,07,202,BOYACA,PESCA,622
266,07,205,BOYACA,PISBA,145
267,07,214,BOYACA,PUERTO BOYACA,3504
268,07,215,BOYACA,QUIPAMA,737
269,07,217,BOYACA,RAMIRIQUI,534
270,07,220,BOYACA,RAQUIRA,643
271,07,223,BOYACA,RONDON,272
272,07,226,BOYACA,SABOYA,1162
273,07,232,BOYACA,SACHICA,347
274,07,235,BOYACA,SAMACA,710
275,07,237,BOYACA,SAN EDUARDO,123
276,07,238,BOYACA,SAN JOSE DE PARE,489
277,07,241,BOYACA,SAN LUIS DE GACENO,370
278,07,247,BOYACA,SAN MATEO,279
279,07,248,BOYACA,SAN MIGUEL DE SEMA,211
280,07,249,BOYACA,SAN PABLO DE BORBUR,679
281,07,250,BOYACA,SANTANA,533
282,07,251,BOYACA,SANTA MARIA,407
283,07,253,BOYACA,SANTA ROSA DE VITERBO,634
