COD_DEP,COD_MUN,DEPARTAMENTO,MUNICIPIO,AÑO,DELITO,CRIMINALIDAD,ES_ARCHIVO,ES_PRECLUSIÓN,ESTADO,ETAPA_CASO,LEY,TOTAL_PROCESOS,TRANSHUMANTES,IDC_TOTAL,MUJERES_DIVIPOLE,HOMBRES_DIVIPOLE,TOTAL_DIVIPOLE
01,001,ANTIOQUIA,MEDELLIN,2015,PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,2.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,2.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,FRAUDE AL SUFRAGANTE ART. 388 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,DENEGACION DE INSCRIPCION ART. 396 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,VOTO FRAUDULENTO ART. 391 C.P,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,INTERVENCION EN POLITICA ART. 422 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",SI,NO,NO,ACTIVO,INDAGACION,LEY 906,4.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,FRAUDE AL SUFRAGANTE ART. 388 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",NO,SI,NO,INACTIVO,INDAGACION,LEY 906,4.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INVESTIGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,9.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,4.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,FRAUDE AL SUFRAGANTE ART. 388 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,FRAUDE AL SUFRAGANTE ART. 388 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,2.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,2.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,FRAUDE AL SUFRAGANTE ART. 388 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,4.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,001,ANTIOQUIA,MEDELLIN,2015,INTERVENCION EN POLITICA ART. 422 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,2.0,13285.0,125202.0,815524.0,669260.0,1484784.0
01,010,ANTIOQUIA,ALEJANDRIA,2015,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,2.0,464.0,751.0,2223.0,2327.0,4550.0
01,010,ANTIOQUIA,ALEJANDRIA,2015,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,INACTIVO,JUICIO,LEY 906,1.0,464.0,751.0,2223.0,2327.0,4550.0
01,013,ANTIOQUIA,AMAGA,2015,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,959.0,1982.0,11145.0,10492.0,21637.0
